,Unnamed: 0,id,name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,error,popularity
582,582.0,36ljZfF2yXyczWANEgv9LQ,Jane Wafa Jane Jahan,Lata Mangeshkar,['bollywood'],0.302,0.517,5.0,-11.202,1.0,0.0468,0.973,0.866,0.43,0.614,77.464,audio_features,spotify:track:36ljZfF2yXyczWANEgv9LQ,https://api.spotify.com/v1/tracks/36ljZfF2yXyczWANEgv9LQ,https://api.spotify.com/v1/audio-analysis/36ljZfF2yXyczWANEgv9LQ,432009.0,3.0,,
583,583.0,0vaUU4wnvR6VdlUGpQaHew,Lahore - Remix,Guru Randhawa,['bollywood'],0.612,0.913,6.0,-3.162,0.0,0.264,0.0296,8.4e-05,0.0648,0.753,104.75,audio_features,spotify:track:0vaUU4wnvR6VdlUGpQaHew,https://api.spotify.com/v1/tracks/0vaUU4wnvR6VdlUGpQaHew,https://api.spotify.com/v1/audio-analysis/0vaUU4wnvR6VdlUGpQaHew,218046.0,4.0,,
584,584.0,4yGVpeejeeA7zPVoKAm8ji,Kamasutra,Alisha Chinai,['bollywood'],0.699,0.553,10.0,-12.227,0.0,0.0427,0.11,0.000243,0.0976,0.422,98.232,audio_features,spotify:track:4yGVpeejeeA7zPVoKAm8ji,https://api.spotify.com/v1/tracks/4yGVpeejeeA7zPVoKAm8ji,https://api.spotify.com/v1/audio-analysis/4yGVpeejeeA7zPVoKAm8ji,248693.0,4.0,,
585,585.0,4yGVpeejeeA7zPVoKAm8ji,Kamasutra,Alisha Chinai,['bollywood'],0.699,0.553,10.0,-12.227,0.0,0.0427,0.11,0.000243,0.0976,0.422,98.232,audio_features,spotify:track:4yGVpeejeeA7zPVoKAm8ji,https://api.spotify.com/v1/tracks/4yGVpeejeeA7zPVoKAm8ji,https://api.spotify.com/v1/audio-analysis/4yGVpeejeeA7zPVoKAm8ji,248693.0,4.0,,
586,586.0,01nGCDRblBtcIYRA5afkXh,Hamne Tumko Dil Ye De Diya,Anand Raj Anand,['bollywood'],0.487,0.737,9.0,-6.209,0.0,0.0898,0.361,0.0,0.206,0.316,83.203,audio_features,spotify:track:01nGCDRblBtcIYRA5afkXh,https://api.spotify.com/v1/tracks/01nGCDRblBtcIYRA5afkXh,https://api.spotify.com/v1/audio-analysis/01nGCDRblBtcIYRA5afkXh,322693.0,4.0,,
587,587.0,105GHQPEhtb0dDxbb6bvwS,Uthaye Ja Unke Sitam,Lata Mangeshkar,['bollywood'],0.467,0.297,7.0,-10.094,1.0,0.0298,0.923,8.47e-05,0.382,0.522,119.308,audio_features,spotify:track:105GHQPEhtb0dDxbb6bvwS,https://api.spotify.com/v1/tracks/105GHQPEhtb0dDxbb6bvwS,https://api.spotify.com/v1/audio-analysis/105GHQPEhtb0dDxbb6bvwS,173027.0,3.0,,
588,588.0,0zkzNSh9l3q1W6oI2XXDrq,Dil Pardesi Ho Gaya,Lata Mangeshkar,['bollywood'],0.619,0.832,7.0,-9.715,1.0,0.0559,0.464,0.000181,0.0807,0.617,92.957,audio_features,spotify:track:0zkzNSh9l3q1W6oI2XXDrq,https://api.spotify.com/v1/tracks/0zkzNSh9l3q1W6oI2XXDrq,https://api.spotify.com/v1/audio-analysis/0zkzNSh9l3q1W6oI2XXDrq,369000.0,4.0,,
589,589.0,2ZynwT2SY9TLcq8QilP3j3,Rupasi Mananku Namaste,Kumar Sanu,['bollywood'],0.699,0.85,11.0,-1.852,1.0,0.0519,0.711,0.0,0.161,0.762,124.353,audio_features,spotify:track:2ZynwT2SY9TLcq8QilP3j3,https://api.spotify.com/v1/tracks/2ZynwT2SY9TLcq8QilP3j3,https://api.spotify.com/v1/audio-analysis/2ZynwT2SY9TLcq8QilP3j3,297803.0,4.0,,
590,590.0,2ZynwT2SY9TLcq8QilP3j3,Rupasi Mananku Namaste,Kumar Sanu,['bollywood'],0.699,0.85,11.0,-1.852,1.0,0.0519,0.711,0.0,0.161,0.762,124.353,audio_features,spotify:track:2ZynwT2SY9TLcq8QilP3j3,https://api.spotify.com/v1/tracks/2ZynwT2SY9TLcq8QilP3j3,https://api.spotify.com/v1/audio-analysis/2ZynwT2SY9TLcq8QilP3j3,297803.0,4.0,,
591,591.0,3ISINsZYIFxLmPKtgTsaS5,Josh-e-Junoon (Tuc Cricket Anthem),Ali Azmat,['bollywood'],0.792,0.718,8.0,-6.1,0.0,0.0516,0.278,0.0,0.0864,0.549,128.011,audio_features,spotify:track:3ISINsZYIFxLmPKtgTsaS5,https://api.spotify.com/v1/tracks/3ISINsZYIFxLmPKtgTsaS5,https://api.spotify.com/v1/audio-analysis/3ISINsZYIFxLmPKtgTsaS5,195733.0,4.0,,
